,t_start,t_end,energy_wh
0,2023-12-31 12:19:47.764300544+01:00,2024-01-02 16:48:17.680527360+01:00,33541.0
1,2024-01-02 05:17:03.264266240+01:00,2024-01-02 14:58:56.566043648+01:00,11322.0
2,2024-01-02 05:40:00.790305792+01:00,2024-01-02 17:40:44.944933120+01:00,11974.0
3,2024-01-02 05:43:00.137842176+01:00,2024-01-02 12:18:20.466518272+01:00,32258.0
4,2024-01-02 07:26:09.277101824+01:00,2024-01-02 17:09:52.622109440+01:00,35038.0
5,2024-01-02 07:32:11.859546112+01:00,2024-01-02 13:53:10.329847552+01:00,20391.0
6,2024-01-02 08:12:45.239275264+01:00,2024-01-02 17:37:18.481616384+01:00,3774.0
7,2024-01-02 08:20:34.273182208+01:00,2024-01-02 16:35:34.083075328+01:00,45329.0
8,2024-01-02 08:59:40.211740416+01:00,2024-01-02 16:01:36.195188480+01:00,39758.0
9,2024-01-02 09:10:50.852597760+01:00,2024-01-02 15:23:23.346739712+01:00,9861.0
10,2024-01-02 09:14:16.902183936+01:00,2024-01-02 19:20:57.562079744+01:00,5467.0
11,2024-01-02 09:27:47.451009536+01:00,2024-01-02 17:11:17.449515264+01:00,46744.0
12,2024-01-02 09:31:18.834808320+01:00,2024-01-02 14:42:37.969861376+01:00,39253.0
13,2024-01-02 10:18:32.764403968+01:00,2024-01-02 15:46:57.595869440+01:00,20145.0
14,2024-01-03 05:24:38.042153728+01:00,2024-01-03 15:02:35.214840320+01:00,5415.0
15,2024-01-03 07:21:54.187994112+01:00,2024-01-03 12:57:54.507055104+01:00,14573.0
16,2024-01-03 07:28:56.661462272+01:00,2024-01-03 15:19:43.133381632+01:00,11142.0
17,2024-01-03 08:04:07.593980160+01:00,2024-01-03 18:05:29.526142720+01:00,35350.0
18,2024-01-03 08:25:10.294691072+01:00,2024-01-03 10:34:19.176955136+01:00,7289.0
19,2024-01-03 08:29:17.327964160+01:00,2024-01-03 15:51:31.520577792+01:00,12773.0
20,2024-01-03 08:31:56.801349888+01:00,2024-01-03 17:07:34.052336384+01:00,15092.0
21,2024-01-03 08:34:24.936524800+01:00,2024-01-03 16:47:06.604729600+01:00,49591.0
22,2024-01-03 08:36:17.223887360+01:00,2024-01-03 16:35:19.539841792+01:00,16748.0
23,2024-01-03 08:58:28.833173760+01:00,2024-01-03 12:28:35.875532288+01:00,32564.0
24,2024-01-03 09:05:53.697123072+01:00,2024-01-03 18:53:53.583757824+01:00,2935.0
25,2024-01-03 09:11:01.375899648+01:00,2024-01-03 15:15:18.365144832+01:00,12797.0
26,2024-01-03 09:15:38.702724096+01:00,2024-01-03 11:13:53.016549888+01:00,20207.0
27,2024-01-03 09:37:49.053722368+01:00,2024-01-03 14:18:28.444001792+01:00,11291.0
28,2024-01-03 09:38:30.216482304+01:00,2024-01-03 16:20:03.703283200+01:00,31949.0
29,2024-01-03 09:55:43.694592+01:00,2024-01-03 16:23:42.424410880+01:00,35217.0
30,2024-01-03 10:07:39.224284672+01:00,2024-01-03 17:10:04.739718656+01:00,28634.0
31,2024-01-03 10:12:34.697669632+01:00,2024-01-03 13:41:01.142561024+01:00,37382.0
32,2024-01-03 12:36:44.370190592+01:00,2024-01-03 13:26:43.738629888+01:00,3005.0
33,2024-01-03 13:55:21.652373248+01:00,2024-01-04 09:05:51.237229312+01:00,7946.0
34,2024-01-03 14:39:16.030678784+01:00,2024-01-03 15:37:49.788583680+01:00,10736.0
35,2024-01-04 05:17:21.178790912+01:00,2024-01-04 15:09:32.986288896+01:00,12237.0
36,2024-01-04 05:37:51.602130944+01:00,2024-01-04 11:09:29.906162432+01:00,12114.0
37,2024-01-04 07:38:30.067436032+01:00,2024-01-04 12:54:15.002775552+01:00,8142.0
38,2024-01-04 08:07:36.350620672+01:00,2024-01-04 18:33:25.994167552+01:00,46698.0
39,2024-01-04 08:10:35.521546496+01:00,2024-01-04 18:58:50.713357312+01:00,36167.0
40,2024-01-04 08:13:32.315950080+01:00,2024-01-04 16:07:10.350211840+01:00,8803.0
41,2024-01-04 08:13:34.081634304+01:00,2024-01-04 15:54:47.446028032+01:00,18543.0
42,2024-01-04 08:43:16.923156992+01:00,2024-01-04 17:17:05.574712832+01:00,25564.0
43,2024-01-04 08:46:05.657649664+01:00,2024-01-04 16:30:24.094817536+01:00,36721.0
44,2024-01-04 08:49:43.740806400+01:00,2024-01-04 12:15:05.285119232+01:00,19760.0
45,2024-01-04 08:53:21.730597888+01:00,2024-01-04 18:10:48.881165312+01:00,43495.0
46,2024-01-04 08:55:28.567858432+01:00,2024-01-04 14:48:25.596301824+01:00,24536.0
